"OM","B0","R0","FMSY","MSY","BMSY","RMSY","Blim"
"baseline",21019.8633808202,7192.00457167123,0.223477226049866,1200.69301980379,5476.22480659444,6532.87301886196,2352.12611867613
"Catch_no_disc",17915.5769588557,6258.10104021116,0.4,1286.03775650373,3234.49644423697,5979.25535838848,27.5812081779655
"Catch_no_surv",24789.0772256612,8475.32366463056,0.188496072671395,1207.68312414946,6881.86885075229,7170.27927169447,6914.11986296269
"migr_none",17677.308128477,5999.99005949885,0.262897301586217,1116.92125838847,4068.79120269241,5454.10795654524,1434.01353217986
"M_low",45528.5920182803,5494.04883298411,0.130192267842992,1617.2049447111,10983.3143693007,5313.47151061048,1068.17426497368
"M_high",14216.6009017753,9573.39313218935,0.332991343471761,1069.98920054474,3788.65697073146,7907.28395787195,4638.54470771537
"M_Gislason",22594.2931123725,11277.612764785,0.209051324256379,1105.13099513544,5519.39850074709,9572.00947670281,4390.88665030099
"R_no_AC",21325.4333081362,7131.69707302927,0.239695870397122,1243.41654063529,5338.14544521925,6416.36407031917,2352.12611867613
"R_higher",25386.9395939109,8702.52097038133,0.224472008749562,1474.17769077721,6696.4015745252,8003.76032118158,2352.12611867613
"R_lower",16613.354459947,5684.69197833834,0.216747350254801,931.987580531116,4359.14198207174,5086.87269165823,2352.12611867613
